Group,Variable,Value
Methodology,Event Based,FALSE
,Archival,FALSE
Creators 1,Name,Collin J Schwantes
,Family Name,Schwantes
,Given Name,Collin J 
,Name Identifier,https://orcid.org/0000-0002-9882-941X
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA. collin.schwantes@yale.edu."
,Affiliation Identifier,https://ror.org/03v76x132
Creators 2,Name,Cecilia A Sanchez
,Family Name,Sanchez
,Given Name,Cecilia A 
,Name Identifier,https://orcid.org/0000-0002-1141-6816
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA. cecilia.sanchez@yale.edu."
,Affiliation Identifier,https://ror.org/03v76x132
Creators 3,Name,Tess Stevens
,Family Name,Stevens
,Given Name,Tess 
,Name Identifier,NA
,Affiliation,"Center for Global Health Science and Security, Georgetown University, Washington, DC, USA."
,Affiliation Identifier,https://ror.org/05vzafd60
Creators 4,Name,Ryan Zimmerman
,Family Name,Zimmerman
,Given Name,Ryan 
,Name Identifier,https://orcid.org/0000-0002-4376-7418
,Affiliation,"Center for Global Health Science and Security, Georgetown University, Washington, DC, USA."
,Affiliation Identifier,https://ror.org/05vzafd60
Creators 5,Name,Greg Albery
,Family Name,Albery
,Given Name,Greg 
,Name Identifier,https://orcid.org/0000-0001-6260-2662
,Affiliation,"Department of Biology, Georgetown University, Washington, DC, USA."
,Affiliation Identifier,https://ror.org/05vzafd60
Creators 6,Name,Daniel J Becker
,Family Name,Becker
,Given Name,Daniel J 
,Name Identifier,https://orcid.org/0000-0003-4315-8628
,Affiliation,"School of Biological Sciences, University of Oklahoma, Norman, OK, USA."
,Affiliation Identifier,https://ror.org/02aqsxs83
Creators 7,Name,Cole B Brookson
,Family Name,Brookson
,Given Name,Cole B 
,Name Identifier,https://orcid.org/0000-0003-1237-4096
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA."
,Affiliation Identifier,https://ror.org/03v76x132
Creators 8,Name,Rebekah C Kading
,Family Name,Kading
,Given Name,Rebekah C 
,Name Identifier,https://orcid.org/0000-0002-4996-915X
,Affiliation,"Center for Vector-borne Infectious Diseases, Department of Microbiology, Immunology, and Pathology, Colorado State University, Fort Collins, CO, USA."
,Affiliation Identifier,https://ror.org/03k1gpj17
Creators 9,Name,Carl N Keiser
,Family Name,Keiser
,Given Name,Carl N 
,Name Identifier,https://orcid.org/0000-0002-4936-7810
,Affiliation,"Emerging Pathogens Institute, University of Florida, Gainesville, FL, USA."
,Affiliation Identifier,https://ror.org/02y3ad647
Creators 10,Name,Shashank Khandelwal
,Family Name,Khandelwal
,Given Name,Shashank 
,Name Identifier,NA
,Affiliation,"Blue Tiger, LLC, Timonium, MD, USA."
,Affiliation Identifier,https://ror.org/01mzcg363
Creators 11,Name,Stephanie Kramer-Schadt
,Family Name,Kramer-Schadt
,Given Name,Stephanie 
,Name Identifier,https://orcid.org/0000-0002-9269-4446
,Affiliation,"Department of Ecological Dynamics, Leibniz Institute for Zoo and Wildlife Research, Berlin, Germany."
,Affiliation Identifier,https://ror.org/05nywn832
Creators 12,Name,Raphael Krut-Landau
,Family Name,Krut-Landau
,Given Name,Raphael 
,Name Identifier,NA
,Affiliation,"Blue Tiger, LLC, Timonium, MD, USA."
,Affiliation Identifier,https://ror.org/01mzcg363
Creators 13,Name,Clifton McKee
,Family Name,McKee
,Given Name,Clifton 
,Name Identifier,https://orcid.org/0000-0002-6149-0598
,Affiliation,"Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, USA."
,Affiliation Identifier,https://ror.org/00za53h95
Creators 14,Name,Diego Montecino-Latorre
,Family Name,Montecino-Latorre
,Given Name,Diego 
,Name Identifier,https://orcid.org/0000-0002-5009-5939
,Affiliation,"Wildlife Conservation Society, Health Program, New York, NY, USA."
,Affiliation Identifier,https://ror.org/01xnsst08
Creators 15,Name,Zoe O'Donoghue
,Family Name,O'Donoghue
,Given Name,Zoe 
,Name Identifier,NA
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA."
,Affiliation Identifier,https://ror.org/03v76x132
Creators 16,Name,Sarah H Olson
,Family Name,Olson
,Given Name,Sarah H 
,Name Identifier,https://orcid.org/0000-0002-8484-9006
,Affiliation,"Wildlife Conservation Society, Health Program, New York, NY, USA."
,Affiliation Identifier,https://ror.org/01xnsst08
Creators 17,Name,Mika O'Shea
,Family Name,O'Shea
,Given Name,Mika 
,Name Identifier,NA
,Affiliation,"Department of Ecology and Evolutionary Biology, Tulane University, New Orleans, LA, USA."
,Affiliation Identifier,https://ror.org/04vmvtb21
Creators 18,Name,Timothee Poisot
,Family Name,Poisot
,Given Name,Timothee 
,Name Identifier,https://orcid.org/0000-0002-0735-5184
,Affiliation,"Departement de Sciences Biologiques, Universite de Montreal, Montreal, QC, Canada."
,Affiliation Identifier,https://ror.org/0161xgx34
Creators 19,Name,Hailey Robertson
,Family Name,Robertson
,Given Name,Hailey 
,Name Identifier,https://orcid.org/0009-0007-2988-307X
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA."
,Affiliation Identifier,https://ror.org/03v76x132
Creators 20,Name,Sadie J Ryan
,Family Name,Ryan
,Given Name,Sadie J 
,Name Identifier,https://orcid.org/0000-0002-4308-6321
,Affiliation,"Emerging Pathogens Institute, University of Florida, Gainesville, FL, USA."
,Affiliation Identifier,https://ror.org/02y3ad647
Creators 21,Name,Stephanie N Seifert
,Family Name,Seifert
,Given Name,Stephanie N 
,Name Identifier,https://orcid.org/0000-0002-4397-6156
,Affiliation,"Paul G. Allen School for Global Health, University of Washington, Pullman, WA, USA."
,Affiliation Identifier,https://ror.org/00cvxb145
Creators 22,Name,David Simons
,Family Name,Simons
,Given Name,David 
,Name Identifier,NA
,Affiliation,"Department of Anthropology, Pennsylvania State University, State College, PA, USA."
,Affiliation Identifier,https://ror.org/04p491231
Creators 23,Name,Amanda Vicente-Santos
,Family Name,Vicente-Santos
,Given Name,Amanda 
,Name Identifier,https://orcid.org/0000-0001-6012-2059
,Affiliation,"School of Biological Sciences, University of Oklahoma, Norman, OK, USA."
,Affiliation Identifier,https://ror.org/02aqsxs83
Creators 24,Name,Chelsea L Wood
,Family Name,Wood
,Given Name,Chelsea L 
,Name Identifier,https://orcid.org/0000-0003-2738-3139
,Affiliation,"School of Aquatic and Fishery Sciences, University of Washington, Seattle, WA, USA."
,Affiliation Identifier,https://ror.org/00cvxb145
Creators 25,Name,Ellie Graeden
,Family Name,Graeden
,Given Name,Ellie 
,Name Identifier,https://orcid.org/0000-0002-1265-9756
,Affiliation,"Center for Global Health Science and Security, Georgetown University, Washington, DC, USA."
,Affiliation Identifier,https://ror.org/05vzafd60
Creators 26,Name,Colin J Carlson
,Family Name,Carlson
,Given Name,Colin J 
,Name Identifier,https://orcid.org/0000-0001-6960-8434
,Affiliation,"Department of Epidemiology of Microbial Diseases, Yale University, New Haven, CT, USA. colin.carlson@yale.edu."
,Affiliation Identifier,https://ror.org/03v76x132
Titles 1,title,A minimum data standard for wildlife disease research and surveillance
publicationYear,publicationYear,2025
language,language,en
Descriptions 1,Description,Demo data for sortee
,Description Type,abstract
Funding References 1,Funder Name,National Science Foundation
,Funder Identifier,https://ror.org/021nxhr62
,Award Number,2213854
,Award URI,
,Award ID,
Funding References 2,Funder Name,National Science Foundation
,Funder Identifier,https://ror.org/021nxhr62
,Award Number,2515340
,Award URI,
,Award ID,
Subjects 1,Subject,Data Sharing
Subjects 2,Subject,Wildlife disease
Subjects 3,Subject,Best practice
Subjects 4,Subject,Table (database)
Related Identifiers 1,Related Identifier,doi.org/10.1038/s41597-025-05332-x
,Related Identifier Type,doi
,Relation Type,describes
